JESTS,8,TARES 10011,SEINE 12000,POSTS 00222,BALKY 00000,FOWTH 00020,AGAVE 00001,ABUZZ 00000,JESTS 22222,,1,1,,4.206719337
JILLS,8,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 00000,AGAVE 00000,JAZZY 20000,JILLS 22222,,2,42,,
LILLS,8,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 00000,AGAVE 00000,JAZZY 00000,LILLS 22222,,3,1642,,
ZESTS,8,TARES 10011,SEINE 12000,POSTS 00222,BALKY 00000,FOWTH 00020,AGAVE 00001,ABUZZ 00010,ZESTS 22222,,4,7348,,
ZILLS,8,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 00000,AGAVE 00000,JAZZY 00100,ZILLS 22222,,5,3609,,
FELLS,7,TARES 00012,NEELD 02010,MILKY 00100,BACHA 00000,ADVEW 00010,AFLAJ 01100,FELLS 22222,,,6,375,,
GESTS,7,TARES 10011,SEINE 12000,POSTS 00222,BALKY 00000,FOWTH 00020,AGAVE 01001,GESTS 22222,,,7,15,,
GILLS,7,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 00000,AGAVE 01000,GILLS 22222,,,8,5,,
GOOKS,7,TARES 00002,LOUND 01000,CHOOM 00100,PAWKY 00020,ABUZZ 00000,AARGH 00010,GOOKS 22222,,,,,,
HIVES,7,TARES 00022,DOLCI 00001,PINKY 02000,BEFOG 01000,ADVEW 00220,AAHED 00120,HIVES 22222,,,,,,
JELLS,7,TARES 00012,NEELD 02010,MILKY 00100,BACHA 00000,ADVEW 00010,AFLAJ 00101,JELLS 22222,,,,,,
JIVES,7,TARES 00022,DOLCI 00001,PINKY 02000,BEFOG 01000,ADVEW 00220,AAHED 00020,JIVES 22222,,,,,,
JOOKS,7,TARES 00002,LOUND 01000,CHOOM 00100,PAWKY 00020,ABUZZ 00000,AARGH 00000,JOOKS 22222,,,,,,
KANES,7,TARES 02022,LYMPH 00000,DWANG 00110,BANCO 02200,AFLAJ 10000,ABACK 10001,KANES 22222,,,,,,
MIMES,7,TARES 00022,DOLCI 00001,PINKY 02000,BEFOG 01000,ADVEW 00020,ADDAX 00000,MIMES 22222,,,,,,
MIXES,7,TARES 00022,DOLCI 00001,PINKY 02000,BEFOG 01000,ADVEW 00020,ADDAX 00001,MIXES 22222,,,,,,
PELLS,7,TARES 00012,NEELD 02010,MILKY 00100,BACHA 00000,ADVEW 00010,AFLAJ 00100,PELLS 22222,,,,,,
VANES,7,TARES 02022,LYMPH 00000,DWANG 00110,BANCO 02200,AFLAJ 10000,ABACK 10000,VANES 22222,,,,,,
VESTS,7,TARES 10011,SEINE 12000,POSTS 00222,BALKY 00000,FOWTH 00020,AGAVE 00011,VESTS 22222,,,,,,
VILLS,7,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 00000,AGAVE 00010,VILLS 22222,,,,,,
ABLOW,6,TARES 01000,LIANA 10100,COMAL 01011,ALLOD 20220,AARGH 20000,ABLOW 22222,,,,,,,
ABLOW,6,TARES 01000,LIANA 10100,COMAL 01011,ALLOD 20220,AARGH 20000,ABLOW 22222,,,,,,,
AGLOW,6,TARES 01000,LIANA 10100,COMAL 01011,ALLOD 20220,AARGH 20010,AGLOW 22222,,,,,,,
ALLOW,6,TARES 01000,LIANA 10100,COMAL 01011,ALLOD 22220,ABAYA 20000,ALLOW 22222,,,,,,,
ALLOY,6,TARES 01000,LIANA 10100,COMAL 01011,ALLOD 22220,ABAYA 20010,ALLOY 22222,,,,,,,
BABAS,6,TARES 01002,ALMAH 10020,PUNKY 00000,CAVED 01000,BEFOG 10000,BABAS 22222,,,,,,,
BABES,6,TARES 02022,LYMPH 00000,DWANG 00100,FLOCK 00000,ABOVE 11001,BABES 22222,,,,,,,
BAKED,6,TARES 02020,LOWND 00002,CAMPY 02000,HAFIZ 02000,AARGH 02000,BAKED 22222,,,,,,,
BAKER,6,TARES 02120,GLYPH 00000,DECOR 01002,WAKFS 02200,AMBAN 10100,BAKER 22222,,,,,,,
BAKES,6,TARES 02022,LYMPH 00000,DWANG 00100,FLOCK 00001,ABACI 11000,BAKES 22222,,,,,,,
BARER,6,TARES 02120,GLYPH 00000,DECOR 01001,RAVER 12022,ABAFT 11000,BARER 22222,,,,,,,
BEERY,6,TARES 00110,DEICE 01000,FONLY 00002,APEEK 00100,ABACA 01000,BEERY 22222,,,,,,,
BEZES,6,TARES 00012,NEELD 01000,MOCHY 00000,KAZIS 00202,ABACA 01000,BEZES 22222,,,,,,,
BIBBS,6,TARES 00002,LOUND 00000,WIMPY 02000,BACHA 10000,ABBAS 01102,BIBBS 22222,,,,,,,
BIBES,6,TARES 00022,DOLCI 00001,PINKY 02000,BEFOG 11000,AJIVA 00100,BIBES 22222,,,,,,,
BIFFS,6,TARES 00002,LOUND 00000,WIMPY 02000,BACHA 20000,AARGH 00000,BIFFS 22222,,,,,,,
BIGGS,6,TARES 00002,LOUND 00000,WIMPY 02000,BACHA 20000,AARGH 00010,BIGGS 22222,,,,,,,
BIKED,6,TARES 00020,LOUND 00002,PIGMY 02000,FECKS 01010,AAHED 00022,BIKED 22222,,,,,,,
BIKER,6,TARES 00120,POIND 00100,FILAR 02002,VUGHS 00000,BEAUX 21000,BIKER 22222,,,,,,,
BILLS,6,TARES 00002,LOUND 10000,FILMY 02100,CHAWK 00000,ABAMP 01000,BILLS 22222,,,,,,,
BINGY,6,TARES 00000,COLIN 00011,DUNNY 00202,AZUKI 00001,ABAMP 01000,BINGY 22222,,,,,,,
BIVVY,6,TARES 00000,COLIN 00010,DUMPY 00002,BEFOG 20000,ABOVE 01010,BIVVY 22222,,,,,,,
BIZZY,6,TARES 00000,COLIN 00010,DUMPY 00002,BEFOG 20000,ABOVE 01000,BIZZY 22222,,,,,,,
BOBOS,6,TARES 00002,LOUND 01000,CHOOM 00120,BAGGY 10000,AZUKI 00000,BOBOS 22222,,,,,,,
BOKOS,6,TARES 00002,LOUND 01000,CHOOM 00120,BAGGY 20000,ABACK 01001,BOKOS 22222,,,,,,,
BOLLS,6,TARES 00002,LOUND 12000,FILMY 00100,CHELP 00010,BAJAN 20000,BOLLS 22222,,,,,,,
BOOBS,6,TARES 00002,LOUND 01000,CHOOM 00100,PAWKY 00000,ABAFT 01000,BOOBS 22222,,,,,,,
BOOKS,6,TARES 00002,LOUND 01000,CHOOM 00100,PAWKY 00020,ABUZZ 01000,BOOKS 22222,,,,,,,
BOOKY,6,TARES 00000,COLIN 01000,BUMPY 20002,DEFOG 00010,ABACK 01001,BOOKY 22222,,,,,,,
BOOZY,6,TARES 00000,COLIN 01000,BUMPY 20002,DEFOG 00010,ABACK 01000,BOOZY 22222,,,,,,,
BORER,6,TARES 00120,POIND 02000,MUCKY 00000,ALVAR 00001,ABLOW 01010,BORER 22222,,,,,,,
BOWER,6,TARES 00120,POIND 02000,MUCKY 00000,ALVAR 00002,ABLOW 01011,BOWER 22222,,,,,,,
BOWLS,6,TARES 00002,LOUND 12000,FILMY 00100,CHELP 00020,AJUGA 00000,BOWLS 22222,,,,,,,
BOXER,6,TARES 00120,POIND 02000,MUCKY 00000,ALVAR 00002,ABLOW 01010,BOXER 22222,,,,,,,
BOZOS,6,TARES 00002,LOUND 01000,CHOOM 00120,BAGGY 20000,ABACK 01000,BOZOS 22222,,,,,,,
BRAKE,6,TARES 01110,DRERE 02002,CHAMP 00200,BAVIN 21000,ABACK 01201,BRAKE 22222,,,,,,,
BRAKY,6,TARES 01100,LIANA 00200,CHORD 00010,BLYPE 20100,ABACK 01201,BRAKY 22222,,,,,,,
BRAXY,6,TARES 01100,LIANA 00200,CHORD 00010,BLYPE 20100,ABACK 01200,BRAXY 22222,,,,,,,
BRAZE,6,TARES 01110,DRERE 02002,CHAMP 00200,BAVIN 21000,ABACK 01200,BRAZE 22222,,,,,,,
BUBUS,6,TARES 00002,LOUND 00100,HUMIC 01000,KOPJE 00000,ABAFT 01000,BUBUS 22222,,,,,,,
CACKS,6,TARES 02002,CLINK 10001,BAWDY 02000,BUMPH 00000,JACKS 02122,CACKS 22222,,,,,,,
CHICS,6,TARES 00002,LOUND 00000,WIMPY 01000,ABACK 00010,ABOVE 00000,CHICS 22222,,,,,,,
CHIVS,6,TARES 00002,LOUND 00000,WIMPY 01000,ABACK 00010,ABOVE 00020,CHIVS 22222,,,,,,,
CLADS,6,TARES 01002,ALMAH 12000,BUNGY 00000,PLACK 02210,AAHED 10001,CLADS 22222,,,,,,,
CLAWS,6,TARES 01002,ALMAH 12000,BUNGY 00000,PLACK 02210,AAHED 10000,CLAWS 22222,,,,,,,
COKED,6,TARES 00020,LOUND 02002,PSYCH 00010,ADVEW 01020,AZUKI 00010,COKED 22222,,,,,,,
CONFS,6,TARES 00002,LOUND 02010,BINGY 00200,CHAMP 20000,ABACK 00010,CONFS 22222,,,,,,,
CONKS,6,TARES 00002,LOUND 02010,BINGY 00200,CHAMP 20000,ABACK 00011,CONKS 22222,,,,,,,
COXED,6,TARES 00020,LOUND 02002,PSYCH 00010,ADVEW 01020,AZUKI 00000,COXED 22222,,,,,,,
COXES,6,TARES 00022,DOLCI 02010,MAVEN 00020,APEAK 00100,ABUZZ 00000,COXES 22222,,,,,,,
COZED,6,TARES 00020,LOUND 02002,PSYCH 00010,ADVEW 01020,AZUKI 01000,COZED 22222,,,,,,,
COZES,6,TARES 00022,DOLCI 02010,MAVEN 00020,APEAK 00100,ABUZZ 00010,COZES 22222,,,,,,,
DABBA,6,TARES 01000,LIANA 00102,BUMPH 10000,KAYAK 01000,AAHED 12001,DABBA 22222,,,,,,,
DADDY,6,TARES 02000,MINCY 00002,BLUDE 00010,DWARF 10100,ABAMP 10000,DADDY 22222,,,,,,,
DIDDY,6,TARES 00000,COLIN 00010,DUMPY 10002,BAWKS 00000,AARGH 00000,DIDDY 22222,,,,,,,
DODGE,6,TARES 00010,LEONE 00102,COMBI 02000,PLUGS 00020,ABLOW 00010,DODGE 22222,,,,,,,
DOODY,6,TARES 00000,COLIN 01000,BUMPY 00002,DEFOG 10010,AWASH 00000,DOODY 22222,,,,,,,
DOOLY,6,TARES 00000,COLIN 01100,GOOKY 02202,BUMPH 00000,AAHED 00001,DOOLY 22222,,,,,,,
DOTTY,6,TARES 10000,COUNT 02001,LYMPH 01000,BATTA 00220,AAHED 00001,DOTTY 22222,,,,,,,
DOVED,6,TARES 00020,LOUND 02001,CAMPY 00000,BWAZI 00000,ABOVE 00111,DOVED 22222,,,,,,,
DOVIE,6,TARES 00010,LEONE 00102,COMBI 02001,WEDGY 01100,ABOVE 00112,DOVIE 22222,,,,,,,
DOXED,6,TARES 00020,LOUND 02001,CAMPY 00000,BWAZI 00000,ABOVE 00101,DOXED 22222,,,,,,,
DOXES,6,TARES 00022,DOLCI 22000,ABAMP 00000,AGAVE 00001,ABUZZ 00000,DOXES 22222,,,,,,,
DOXIE,6,TARES 00010,LEONE 00102,COMBI 02001,WEDGY 01100,ABOVE 00102,DOXIE 22222,,,,,,,
DOZES,6,TARES 00022,DOLCI 22000,ABAMP 00000,AGAVE 00001,ABUZZ 00010,DOZES 22222,,,,,,,
FAFFY,6,TARES 02000,MINCY 00002,BLUDE 00000,GAPPY 02002,ABAFT 10010,FAFFY 22222,,,,,,,
FAGGY,6,TARES 02000,MINCY 00002,BLUDE 00000,GAPPY 12002,ABAFT 10010,FAGGY 22222,,,,,,,
FAILS,6,TARES 02002,CLINK 01200,BUMPH 00000,ADVEW 10000,ABAFT 10010,FAILS 22222,,,,,,,
FAKED,6,TARES 02020,LOWND 00002,CAMPY 02000,HAFIZ 02100,ABACK 10001,FAKED 22222,,,,,,,
FALLS,6,TARES 02002,CLINK 01000,WHUMP 00000,BALLS 02222,AARGH 02000,FALLS 22222,,,,,,,
FANES,6,TARES 02022,LYMPH 00000,DWANG 00110,BANCO 02200,AFLAJ 11000,FANES 22222,,,,,,,
FARER,6,TARES 02120,GLYPH 00000,DECOR 01001,RAVER 12022,ABAFT 10010,FARER 22222,,,,,,,
FASTS,6,TARES 12001,SONSY 10010,BLIMP 00000,GAWCY 02000,ABAFT 10011,FASTS 22222,,,,,,,
FAVAS,6,TARES 01002,ALMAH 10020,PUNKY 00000,CAVED 01200,ABAFT 10110,FAVAS 22222,,,,,,,
