boozy,5,soare 01000,clint 00000,wedgy 00002,booby 22202,boozy 22222,,,3.539524838,,,
fixer,5,soare 00011,deter 00022,filch 22000,aband 00000,fixer 22222,,,,,1,0
finer,5,soare 00011,deter 00022,filch 22000,aband 00010,finer 22222,,,,,2,37
ferry,5,soare 00011,deter 02001,pyric 01100,abaft 00010,ferry 22222,,,,,3,1056
lowly,5,soare 02000,linty 10002,defog 00010,ajwan 00200,lowly 22222,,,,,4,1158
catch,5,soare 00100,clint 10001,bumph 00002,watch 02212,catch 22222,,,,,5,64
jiffy,5,soare 00000,linch 02000,dawts 00000,aflaj 01001,jiffy 22222,,,,,,
vapor,5,soare 01110,bacon 02020,verry 20100,valor 22022,vapor 22222,,,,,,
poppy,5,soare 02000,linty 00002,brogh 00100,abamp 00001,poppy 22222,,,,,,
fiber,5,soare 00011,deter 00022,filch 22000,aband 01000,fiber 22222,,,,,,
dowdy,5,soare 02000,linty 00002,brogh 00100,abamp 00000,dowdy 22222,,,,,,
rehab,5,soare 00111,talar 00021,becke 12000,rebar 22120,rehab 22222,,,,,,
tatty,5,soare 00100,clint 00001,baffy 02002,patty 02122,tatty 22222,,,,,,
jolly,5,soare 02000,linty 10002,defog 00010,ajwan 01000,jolly 22222,,,,,,
joker,5,soare 02011,vower 02022,hanky 00010,poker 02222,joker 22222,,,,,,
brave,5,soare 00212,diact 00200,mikva 00021,grave 02222,brave 22222,,,,,,
piggy,5,soare 00000,linch 02000,dawts 00000,aflaj 00000,piggy 22222,,,,,,
pouch,5,soare 02000,linty 00000,bacca 00020,vouch 02222,pouch 22222,,,,,,
graze,5,soare 00212,diact 00200,mikva 00001,grape 22202,graze 22222,,,,,,
puppy,5,soare 00000,linch 00000,dempt 00010,appal 01100,puppy 22222,,,,,,
caper,5,soare 00111,talar 02002,gawky 02000,paper 02222,caper 22222,,,,,,
jumbo,5,soare 01000,clint 00000,wedgy 00000,buxom 12011,jumbo 22222,,,,,,
comfy,5,soare 02000,linty 00002,brogh 00100,abamp 00010,comfy 22222,,,,,,
giver,5,soare 00011,deter 00022,filch 02000,amped 00020,giver 22222,,,,,,
bitty,5,soare 00000,linch 02000,dawts 00010,kitty 02222,bitty 22222,,,,,,
dread,5,soare 00111,talar 00021,becke 01000,dream 12220,dread 22222,,,,,,
quilt,5,soare 00000,linch 11000,guilt 02222,built 02222,quilt 22222,,,,,,
bawdy,5,soare 00100,clint 00000,gaped 02001,daddy 02022,bawdy 22222,,,,,,
upper,5,soare 00011,deter 00022,filch 00000,buyer 01022,upper 22222,,,,,,
holly,5,soare 02000,linty 10002,defog 00010,ajwan 00000,holly 22222,,,,,,
gazer,5,soare 00111,talar 02002,gawky 22000,gamer 22022,gazer 22222,,,,,,
piper,5,soare 00011,deter 00022,filch 02000,amped 00120,piper 22222,,,,,,
femme,5,soare 00001,denet 01000,gulch 00000,beefy 01010,femme 22222,,,,,,
puffy,5,soare 00000,linch 00000,dempt 00010,appal 01000,puffy 22222,,,,,,
liner,5,soare 00011,deter 00022,filch 02100,liver 22022,liner 22222,,,,,,
juror,5,soare 01010,cloot 00020,aimer 00001,furor 02222,juror 22222,,,,,,
fuzzy,5,soare 00000,linch 00000,dempt 00000,buggy 02002,fuzzy 22222,,,,,,
miner,5,soare 00011,deter 00022,filch 02000,amped 01020,miner 22222,,,,,,
maker,5,soare 00111,talar 02002,gawky 02010,baker 02222,maker 22222,,,,,,
jazzy,5,soare 00100,clint 00000,gaped 02000,mammy 02002,jazzy 22222,,,,,,
viper,5,soare 00011,deter 00022,filch 02000,amped 00220,viper 22222,,,,,,
rarer,5,soare 00111,talar 02001,maror 02102,racer 12022,rarer 22222,,,,,,
wafer,5,soare 00111,talar 02002,gawky 02100,waver 22022,wafer 22222,,,,,,
wreak,5,soare 00111,talar 00021,becke 01010,freak 02222,wreak 22222,,,,,,
fight,5,soare 00000,linch 02001,compt 00002,wight 02222,fight 22222,,,,,,
plump,5,soare 00000,linch 10000,baldy 00100,fluff 02200,plump 22222,,,,,,
merry,5,soare 00011,deter 02001,pyric 01100,abaft 00000,merry 22222,,,,,,
papal,5,soare 00100,clint 01000,dampy 01010,pupal 20212,papal 22222,,,,,,
berry,5,soare 00011,deter 02001,pyric 01100,abaft 01000,berry 22222,,,,,,
wound,5,soare 02000,linty 00100,bumph 01000,found 02222,wound 22222,,,,,,
fizzy,5,soare 00000,linch 02000,dawts 00000,aflaj 01000,fizzy 22222,,,,,,
biddy,5,soare 00000,linch 02000,dawts 10000,giddy 02222,biddy 22222,,,,,,
fully,5,soare 00000,linch 10000,baldy 00102,gully 02222,fully 22222,,,,,,
hurry,5,soare 00010,guilt 02000,acred 00100,furry 02222,hurry 22222,,,,,,
mamma,5,soare 00100,clint 00000,gaped 01000,kayak 01000,mamma 22222,,,,,,
guppy,5,soare 00000,linch 00000,dempt 00010,appal 01200,guppy 22222,,,,,,
repel,5,soare 00011,deter 02021,ablow 00100,revel 22022,repel 22222,,,,,,
dried,5,soare 00011,deter 10021,flimp 00200,cried 02221,dried 22222,,,,,,
gummy,5,soare 00000,linch 00000,dempt 00100,mummy 02222,gummy 22222,,,,,,
guava,5,soare 00100,clint 00000,gaped 21000,gamma 21002,guava 22222,,,,,,
brown,5,soare 01010,cloot 00200,dwang 01010,frown 02222,brown 22222,,,,,,
ripen,5,soare 00011,deter 00021,grips 01110,riper 22220,ripen 22222,,,,,,
vaunt,5,soare 00100,clint 00022,dight 00002,jaunt 02222,vaunt 22222,,,,,,
willy,5,soare 00000,linch 12000,bumfs 00000,dilly 02222,willy 22222,,,,,,
cigar,4,soare 00110,radar 00022,abcee 10100,cigar 22222,,,,,,,
rebut,4,soare 00011,deter 02101,abrim 01100,rebut 22222,,,,,,,
humph,4,soare 00000,linch 00001,abaft 00000,humph 22222,,,,,,,
awake,4,soare 00102,gault 01000,abaka 20220,awake 22222,,,,,,,
blush,4,soare 10000,hists 10100,abaft 01000,blush 22222,,,,,,,
focal,4,soare 02100,nidal 00022,abaft 10010,focal 22222,,,,,,,
naval,4,soare 00100,clint 01010,abaka 10100,naval 22222,,,,,,,
karma,4,soare 00110,radar 11000,abaka 10012,karma 22222,,,,,,,
feign,4,soare 00001,denet 02100,blain 00012,feign 22222,,,,,,,
major,4,soare 01110,bacon 02020,verry 00100,major 22222,,,,,,,
fresh,4,soare 10011,truer 02010,ached 00110,fresh 22222,,,,,,,
marry,4,soare 00110,radar 12001,bumph 00100,marry 22222,,,,,,,
batty,4,soare 00100,clint 00001,baffy 22002,batty 22222,,,,,,,
helix,4,soare 00001,denet 02000,beigy 02100,helix 22222,,,,,,,
staff,4,soare 20200,clint 00001,abmho 10000,staff 22222,,,,,,,
paper,4,soare 00111,talar 02002,gawky 02000,paper 22222,,,,,,,
unfed,4,soare 00001,denet 10120,aswim 00000,unfed 22222,,,,,,,
whelp,4,soare 00001,denet 01000,gulch 00101,whelp 22222,,,,,,,
outdo,4,soare 01000,clint 00001,boody 01120,outdo 22222,,,,,,,
