paper,5,soare 00111,talar 02002,gawcy 02000,abaka 10000,paper 22222,,,,,
booby,5,soare 01000,clint 00000,wedgy 00002,abbas 01100,booby 22222,,,3.663930886,,
gamma,5,soare 00100,clint 00000,gaped 21000,aahed 12000,gamma 22222,,,,,
jaunt,5,soare 00100,clint 00022,dight 00002,advew 10000,jaunt 22222,,,,1,0
boozy,5,soare 01000,clint 00000,wedgy 00002,abbas 01000,boozy 22222,,,,2,24
fixer,5,soare 00011,denet 00020,bilgy 02000,asper 00022,fixer 22222,,,,3,835
ferry,5,soare 00011,denet 02000,marly 00102,abaca 00000,ferry 22222,,,,4,1351
perky,5,soare 00011,denet 02000,marly 00202,abamp 00001,perky 22222,,,,5,105
ulcer,5,soare 00011,denet 00020,bilgy 00100,abcee 00220,ulcer 22222,,,,,
pupal,5,soare 00100,clint 01000,dampy 01010,aahed 10000,pupal 22222,,,,,
watch,5,soare 00100,clint 10001,bumph 00002,abaca 10020,watch 22222,,,,,
found,5,soare 02000,linty 00100,bumph 01000,abaft 00010,found 22222,,,,,
lowly,5,soare 02000,linty 10002,defog 00010,ajwan 00200,lowly 22222,,,,,
gamer,5,soare 00111,talar 02002,gawcy 22000,abamp 10010,gamer 22222,,,,,
vouch,5,soare 02000,linty 00000,bacca 00020,abamp 00000,vouch 22222,,,,,
fluff,5,soare 00000,linch 10000,baldy 00100,abaft 00010,fluff 22222,,,,,
buggy,5,soare 00000,linch 00000,dempt 00000,aargh 00010,buggy 22222,,,,,
patty,5,soare 00100,clint 00001,baffy 02002,abamp 10001,patty 22222,,,,,
poker,5,soare 02011,vower 02022,hanky 00010,abamp 00001,poker 22222,,,,,
gully,5,soare 00000,linch 10000,baldy 00102,aargh 00010,gully 22222,,,,,
catch,5,soare 00100,clint 10001,bumph 00002,abaca 10010,catch 22222,,,,,
mummy,5,soare 00000,linch 00000,dempt 00100,aargh 00000,mummy 22222,,,,,
dream,5,soare 00111,talar 00021,becke 01000,abamp 10010,dream 22222,,,,,
baker,5,soare 00111,talar 02002,gawcy 02000,abaka 11010,baker 22222,,,,,
grave,5,soare 00212,diact 00200,mikva 00021,aargh 10110,grave 22222,,,,,
daddy,5,soare 00100,clint 00000,gaped 02001,abaca 10000,daddy 22222,,,,,
jiffy,5,soare 00000,linch 02000,dawts 00000,aflaj 01001,jiffy 22222,,,,,
frown,5,soare 01010,cloot 00200,dwang 01010,abaca 00000,frown 22222,,,,,
plier,5,soare 00011,denet 00020,bilgy 01100,abaft 00000,plier 22222,,,,,
pried,5,soare 00011,denet 10020,cided 01022,abaft 00000,pried 22222,,,,,
kitty,5,soare 00000,linch 02000,dawts 00010,abaca 00000,kitty 22222,,,,,
vigil,5,soare 00000,linch 11000,qubit 00010,abray 00000,vigil 22222,,,,,
flier,5,soare 00011,denet 00020,bilgy 01100,abaft 00010,flier 22222,,,,,
poppy,5,soare 02000,linty 00002,brogh 00100,abamp 00001,poppy 22222,,,,,
dowdy,5,soare 02000,linty 00002,brogh 00100,abamp 00000,dowdy 22222,,,,,
quell,5,soare 00001,denet 01000,filch 00100,abaca 00000,quell 22222,,,,,
rebar,5,soare 00111,talar 00021,becke 12000,aahed 10010,rebar 22222,,,,,
rehab,5,soare 00111,talar 00021,becke 12000,aahed 10210,rehab 22222,,,,,
tatty,5,soare 00100,clint 00001,baffy 02002,abamp 10000,tatty 22222,,,,,
river,5,soare 00011,denet 00020,bilgy 02000,asper 00021,river 22222,,,,,
jolly,5,soare 02000,linty 10002,defog 00010,ajwan 01000,jolly 22222,,,,,
joker,5,soare 02011,vower 02022,hanky 00010,abamp 00000,joker 22222,,,,,
creed,5,soare 00011,denet 11020,beefs 01200,aargh 00100,creed 22222,,,,,
grape,5,soare 00212,diact 00200,mikva 00001,abamp 00201,grape 22222,,,,,
idyll,5,soare 00000,linch 11000,qubit 00010,abray 00001,idyll 22222,,,,,
furor,5,soare 01010,cloot 00020,aimer 00001,abaft 00010,furor 22222,,,,,
imply,5,soare 00000,linch 11000,qubit 00010,abray 00002,imply 22222,,,,,
brave,5,soare 00212,diact 00200,mikva 00021,aargh 10100,brave 22222,,,,,
buxom,5,soare 01000,clint 00000,wedgy 00000,abeam 01002,buxom 22222,,,,,
piggy,5,soare 00000,linch 02000,dawts 00000,aflaj 00000,piggy 22222,,,,,
freak,5,soare 00111,talar 00021,becke 01010,abaft 10010,freak 22222,,,,,
pouch,5,soare 02000,linty 00000,bacca 00020,abamp 00001,pouch 22222,,,,,
dilly,5,soare 00000,linch 12000,bumfs 00000,aahed 00001,dilly 22222,,,,,
graze,5,soare 00212,diact 00200,mikva 00001,abamp 00200,graze 22222,,,,,
puppy,5,soare 00000,linch 00000,dempt 00010,appal 01100,puppy 22222,,,,,
jumbo,5,soare 01000,clint 00000,wedgy 00000,abeam 01001,jumbo 22222,,,,,
mammy,5,soare 00100,clint 00000,gaped 02000,abamp 10010,mammy 22222,,,,,
rebel,5,soare 00011,denet 02020,alvar 01001,abaca 01000,rebel 22222,,,,,
comfy,5,soare 02000,linty 00002,brogh 00100,abamp 00010,comfy 22222,,,,,
racer,5,soare 00111,talar 02001,maror 02102,abaca 10010,racer 22222,,,,,
wider,5,soare 00011,denet 10020,cided 02220,abear 00102,wider 22222,,,,,
bitty,5,soare 00000,linch 02000,dawts 00010,abaca 01000,bitty 22222,,,,,
dread,5,soare 00111,talar 00021,becke 01000,abamp 10000,dread 22222,,,,,
jerky,5,soare 00011,denet 02000,marly 00202,abamp 00000,jerky 22222,,,,,
bawdy,5,soare 00100,clint 00000,gaped 02001,abaca 11000,bawdy 22222,,,,,
upper,5,soare 00011,denet 00020,bilgy 00000,abear 00102,upper 22222,,,,,
wight,5,soare 00000,linch 02001,compt 00002,abaft 00002,wight 22222,,,,,
holly,5,soare 02000,linty 10002,defog 00010,ajwan 00000,holly 22222,,,,,
cruel,5,soare 00011,denet 00020,bilgy 00100,abcee 00120,cruel 22222,,,,,
gazer,5,soare 00111,talar 02002,gawcy 22000,abamp 10000,gazer 22222,,,,,
piper,5,soare 00011,denet 00020,bilgy 02000,asper 00122,piper 22222,,,,,
riper,5,soare 00011,denet 00020,bilgy 02000,asper 00221,riper 22222,,,,,
puffy,5,soare 00000,linch 00000,dempt 00010,appal 01000,puffy 22222,,,,,
juror,5,soare 01010,cloot 00020,aimer 00001,abaft 00000,juror 22222,,,,,
fuzzy,5,soare 00000,linch 00000,dempt 00000,aargh 00000,fuzzy 22222,,,,,
maker,5,soare 00111,talar 02002,gawcy 02000,abaka 10010,maker 22222,,,,,
jazzy,5,soare 00100,clint 00000,gaped 02000,abamp 10000,jazzy 22222,,,,,
viper,5,soare 00011,denet 00020,bilgy 02000,asper 00222,viper 22222,,,,,
rarer,5,soare 00111,talar 02001,maror 02102,abaca 10000,rarer 22222,,,,,
waver,5,soare 00111,talar 02002,gawcy 02100,abaft 10000,waver 22222,,,,,
wafer,5,soare 00111,talar 02002,gawcy 02100,abaft 10010,wafer 22222,,,,,
wreak,5,soare 00111,talar 00021,becke 01010,abaft 10000,wreak 22222,,,,,
fight,5,soare 00000,linch 02001,compt 00002,abaft 00012,fight 22222,,,,,
purer,5,soare 00011,denet 00020,bilgy 00000,abear 00101,purer 22222,,,,,
plump,5,soare 00000,linch 10000,baldy 00100,abaft 00000,plump 22222,,,,,
papal,5,soare 00100,clint 01000,dampy 01010,aahed 12000,papal 22222,,,,,
berry,5,soare 00011,denet 02000,marly 00102,abaca 01000,berry 22222,,,,,
