foyer,6,raise 10001,deter 00022,vouch 02000,plunk 00000,dwarf 00011,foyer 22222
boxer,6,raise 10001,deter 00022,vouch 02000,plunk 00000,dwarf 00010,boxer 22222
mower,6,raise 10001,deter 00022,vouch 02000,plunk 00000,dwarf 01010,mower 22222
pride,5,raise 10202,thump 00001,cigar 01001,evade 00022,pride 22222,
wooer,5,raise 10001,deter 00022,vouch 01000,awake 01001,wooer 22222,
goner,5,raise 10001,deter 00022,vouch 02000,plunk 00010,goner 22222,
jaunt,5,raise 02000,count 00222,dough 00200,evade 00100,jaunt 22222,
growl,5,raise 10000,count 01000,blood 01200,cigar 00101,growl 22222,
group,5,raise 10000,count 01100,major 00011,cigar 00101,group 22222,
prove,5,raise 10002,thong 00200,adobe 00202,humph 00010,prove 22222,
bring,5,raise 10200,crypt 02000,guild 10200,rebut 10100,bring 22222,
ferry,5,raise 10001,deter 02001,mucky 00002,rebut 12000,ferry 22222,
tiger,5,raise 10101,diner 02022,vital 02100,cigar 02202,tiger 22222,
query,5,raise 10001,deter 01001,glove 00001,cigar 00001,query 22222,
perky,5,raise 10001,deter 02001,mucky 00022,humph 00010,perky 22222,
frame,5,raise 11002,track 02200,pudgy 00000,rebut 11000,frame 22222,
watch,5,raise 02000,count 10001,belch 00022,humph 00002,watch 22222,
found,5,raise 00000,nobly 12000,thump 00200,awake 00000,found 22222,
foray,5,raise 11000,crowd 01100,motor 02001,rebut 10000,foray 22222,
money,5,raise 00001,betel 00020,woven 02021,humph 00100,money 22222,
vouch,5,raise 00000,nobly 02000,trace 00020,humph 01002,vouch 22222,
creak,5,raise 11001,bleat 00220,dwarf 00110,humph 00000,creak 22222,
apron,5,raise 11000,crowd 01100,motor 00021,rebut 10000,apron 22222,
gawky,5,raise 02000,count 00000,plumb 00000,dwarf 01100,gawky 22222,
wedge,5,raise 00001,betel 01000,hound 00001,cigar 00100,wedge 22222,
power,5,raise 10001,deter 00022,vouch 02000,plunk 20000,power 22222,
quart,5,raise 11000,crowd 01000,alarm 00220,rebut 10012,quart 22222,
patty,5,raise 02000,count 00001,batty 02222,humph 00010,patty 22222,
poker,5,raise 10001,deter 00022,vouch 02000,plunk 20001,poker 22222,
prize,5,raise 10202,thump 00001,cigar 01001,evade 00002,prize 22222,
gully,5,raise 00000,nobly 00012,lipid 10000,cigar 00100,gully 22222,
lofty,5,raise 00000,nobly 02012,dwarf 00001,rebut 00001,lofty 22222,
enjoy,5,raise 00001,betel 01000,hound 01010,evade 20000,enjoy 22222,
mummy,5,raise 00000,nobly 00002,midge 10000,humph 02100,mummy 22222,
foggy,5,raise 00000,nobly 02002,muddy 00002,cigar 00100,foggy 22222,
fanny,5,raise 02000,count 00010,moldy 00002,focal 20010,fanny 22222,
baker,5,raise 12001,glyph 00000,water 02022,rebut 11100,baker 22222,
folly,5,raise 00000,nobly 02012,dwarf 00001,rebut 00000,folly 22222,
grave,5,raise 11002,track 02200,pudgy 00010,evade 01202,grave 22222,
daddy,5,raise 02000,count 00000,plumb 00000,dwarf 10100,daddy 22222,
lover,5,raise 10001,deter 00022,vouch 12000,humph 00000,lover 22222,
honey,5,raise 00001,betel 00020,woven 02021,humph 20000,honey 22222,
minty,5,raise 00100,pilot 02001,width 02020,humph 00100,minty 22222,
jiffy,5,raise 00100,pilot 02000,dunce 00000,focal 10000,jiffy 22222,
nanny,5,raise 02000,count 00010,moldy 00002,focal 00010,nanny 22222,
cream,5,raise 11001,bleat 00220,dwarf 00110,humph 00100,cream 22222,
couch,5,raise 00000,nobly 02000,trace 00010,cigar 10000,couch 22222,
pushy,5,raise 00010,stony 10002,mushy 02222,rebut 00010,pushy 22222,
tamer,5,raise 12001,glyph 00000,water 02122,humph 00200,tamer 22222,
lunar,5,raise 11000,crowd 01000,alarm 11010,cigar 00022,lunar 22222,
winch,5,raise 00100,pilot 02000,dunce 00220,awake 01000,winch 22222,
borax,5,raise 11000,crowd 01100,motor 02001,rebut 10100,borax 22222,
kitty,5,raise 00100,pilot 02001,width 02010,rebut 00001,kitty 22222,
moron,5,raise 10000,count 01010,dwarf 00010,cigar 00001,moron 22222,
place,5,raise 01002,blank 02200,digit 00000,cigar 10010,place 22222,
poppy,5,raise 00000,nobly 02002,muddy 00002,cigar 00000,poppy 22222,
fiber,5,raise 10101,diner 02022,vital 02000,fixer 22022,fiber 22222,
dumpy,5,raise 00000,nobly 00002,midge 10100,humph 02220,dumpy 22222,
arbor,5,raise 11000,crowd 01100,motor 00021,rebut 10200,arbor 22222,
gayly,5,raise 02000,count 00000,plumb 01000,cigar 00110,gayly 22222,
dally,5,raise 02000,count 00000,plumb 01000,cigar 00010,dally 22222,
rover,5,raise 10001,deter 00021,growl 01100,cigar 00001,rover 22222,
woken,5,raise 00001,betel 00020,woven 22022,humph 00000,woken 22222,
wreck,5,raise 10001,deter 01001,glove 00001,cigar 10001,wreck 22222,
jolly,5,raise 00000,nobly 02012,dwarf 00000,ought 10000,jolly 22222,
jetty,5,raise 00001,betel 02100,pound 00000,humph 00000,jetty 22222,
joker,5,raise 10001,deter 00022,vouch 02000,plunk 00001,joker 22222,
putty,5,raise 00000,nobly 00002,midge 00000,forth 00010,putty 22222,
geeky,5,raise 00001,betel 01000,hound 00000,cigar 00100,geeky 22222,
cough,5,raise 00000,nobly 02000,trace 00010,cigar 20100,cough 22222,
fatty,5,raise 02000,count 00001,batty 02222,humph 00000,fatty 22222,
brave,5,raise 11002,track 02200,pudgy 00000,rebut 11100,brave 22222,
dimly,5,raise 00100,pilot 02100,howdy 00012,humph 00200,dimly 22222,
bushy,5,raise 00010,stony 10002,mushy 02222,rebut 00110,bushy 22222,
pouch,5,raise 00000,nobly 02000,trace 00020,humph 01012,pouch 22222,
dilly,5,raise 00100,pilot 02100,howdy 00012,humph 00000,dilly 22222,
graze,5,raise 11002,track 02200,pudgy 00010,evade 00202,graze 22222,
buyer,5,raise 10001,deter 00022,vouch 00100,rebut 11110,buyer 22222,
finch,5,raise 00100,pilot 02000,dunce 00220,awake 00000,finch 22222,
modal,5,raise 01000,clout 01100,folly 02100,humph 00100,modal 22222,
jelly,5,raise 00001,betel 02001,month 00000,cigar 00000,jelly 22222,
lower,5,raise 10001,deter 00022,vouch 02000,plunk 01000,lower 22222,
groom,5,raise 10000,count 01000,blood 00220,cigar 00101,groom 22222,
hitch,5,raise 00100,pilot 02001,width 02011,cigar 12000,hitch 22222,
offer,5,raise 10001,deter 00022,vouch 01000,awake 00001,offer 22222,
penne,5,raise 00001,betel 01000,hound 00010,focal 00000,penne 22222,
timer,5,raise 10101,diner 02022,vital 02100,cigar 02002,timer 22222,
puppy,5,raise 00000,nobly 00002,midge 00000,forth 00000,puppy 22222,
baggy,5,raise 02000,count 00000,plumb 00001,cigar 00110,baggy 22222,
ninth,5,raise 00100,pilot 02001,width 02022,focal 00000,ninth 22222,
flank,5,raise 01000,clout 02000,aback 00202,humph 00000,flank 22222,
racer,5,raise 12001,glyph 00000,water 02021,cigar 10011,racer 22222,
prowl,5,raise 10000,count 01000,blood 01200,cigar 00001,prowl 22222,
grown,5,raise 10000,count 01010,dwarf 01010,cigar 00101,grown 22222,
breed,5,raise 10001,deter 11021,cigar 00001,rebut 11100,breed 22222,
pence,5,raise 00001,betel 01000,hound 00010,focal 00100,pence 22222,
envoy,5,raise 00001,betel 01000,hound 01010,evade 21000,envoy 22222,
bitty,5,raise 00100,pilot 02001,width 02010,rebut 00101,bitty 22222,
owner,5,raise 10001,deter 00022,vouch 01000,awake 02001,owner 22222,
quark,5,raise 11000,crowd 01000,alarm 00220,rebut 10010,quark 22222,
jerky,5,raise 10001,deter 02001,mucky 00022,humph 00000,jerky 22222,
honor,5,raise 10000,count 01010,dwarf 00010,cigar 00002,honor 22222,
bawdy,5,raise 02000,count 00000,plumb 00001,cigar 00010,bawdy 22222,
upper,5,raise 10001,deter 00022,vouch 00100,rebut 11010,upper 22222,
holly,5,raise 00000,nobly 02012,dwarf 00000,ought 10010,holly 22222,
mover,5,raise 10001,deter 00022,vouch 12000,humph 00100,mover 22222,
freed,5,raise 10001,deter 11021,cigar 00001,rebut 11000,freed 22222,
dummy,5,raise 00000,nobly 00002,midge 10100,humph 02100,dummy 22222,
broom,5,raise 10000,count 01000,blood 20220,humph 00100,broom 22222,
piper,5,raise 10101,diner 02022,vital 02000,fixer 02022,piper 22222,
hefty,5,raise 00001,betel 02100,pound 00000,humph 20000,hefty 22222,
femme,5,raise 00001,betel 01000,hound 00000,cigar 00000,femme 22222,
puffy,5,raise 00000,nobly 00002,midge 00000,forth 10000,puffy 22222,
filly,5,raise 00100,pilot 02100,howdy 00002,rebut 00000,filly 22222,
billy,5,raise 00100,pilot 02100,howdy 00002,rebut 00100,billy 22222,
weedy,5,raise 00001,betel 01000,hound 00001,cigar 00000,weedy 22222,
spoof,5,raise 00010,stony 20100,whelp 00001,awake 00000,spoof 22222,
fuzzy,5,raise 00000,nobly 00002,midge 00000,forth 20000,fuzzy 22222,
patch,5,raise 02000,count 10001,belch 00022,humph 00012,patch 22222,
plank,5,raise 01000,clout 02000,aback 00202,humph 00010,plank 22222,
tally,5,raise 02000,count 00001,batty 02102,blush 01000,tally 22222,
proud,5,raise 10000,count 01100,major 00011,cigar 00001,proud 22222,
maker,5,raise 12001,glyph 00000,water 02022,rebut 11000,maker 22222,
brook,5,raise 10000,count 01000,blood 20220,humph 00000,brook 22222,
jazzy,5,raise 02000,count 00000,plumb 00000,dwarf 00100,jazzy 22222,
fifty,5,raise 00100,pilot 02001,width 02020,humph 00000,fifty 22222,
taffy,5,raise 02000,count 00001,batty 02102,blush 00000,taffy 22222,
flame,5,raise 01002,blank 02200,digit 00000,cigar 00010,flame 22222,
krill,5,raise 10200,crypt 02000,guild 00210,awake 00010,krill 22222,
proof,5,raise 10000,count 01000,blood 00220,cigar 00001,proof 22222,
rarer,5,raise 12001,glyph 00000,water 02021,cigar 00011,rarer 22222,
waver,5,raise 12001,glyph 00000,water 22022,focal 00010,waver 22222,
wafer,5,raise 12001,glyph 00000,water 22022,focal 10010,wafer 22222,
frill,5,raise 10200,crypt 02000,guild 00210,awake 00000,frill 22222,
fence,5,raise 00001,betel 01000,hound 00010,focal 20100,fence 22222,
women,5,raise 00001,betel 00020,woven 22022,humph 00200,women 22222,
berry,5,raise 10001,deter 02001,mucky 00002,rebut 12100,berry 22222,
leggy,5,raise 00001,betel 02001,month 00000,cigar 00100,leggy 22222,
jumpy,5,raise 00000,nobly 00002,midge 10000,humph 02220,jumpy 22222,
modem,5,raise 00001,betel 00020,woven 02020,sissy 00000,modem 22222,
giddy,5,raise 00100,pilot 02000,dunce 10000,cigar 02100,giddy 22222,
wound,5,raise 00000,nobly 12000,thump 00200,awake 01000,wound 22222,
fizzy,5,raise 00100,pilot 02000,dunce 00000,focal 20000,fizzy 22222,
taker,5,raise 12001,glyph 00000,water 02122,humph 00000,taker 22222,
spook,5,raise 00010,stony 20100,whelp 00001,awake 00010,spook 22222,
corer,5,raise 10001,deter 00021,growl 01100,cigar 20001,corer 22222,
tight,5,raise 00100,pilot 02001,width 02011,cigar 02200,tight 22222,
biddy,5,raise 00100,pilot 02000,dunce 10000,cigar 02000,biddy 22222,
fifth,5,raise 00100,pilot 02001,width 02022,focal 10000,fifth 22222,
fully,5,raise 00000,nobly 00012,lipid 10000,cigar 00000,fully 22222,
zonal,5,raise 01000,clout 01100,folly 02100,humph 00000,zonal 22222,
wring,5,raise 10200,crypt 02000,guild 10200,rebut 10000,wring 22222,
froze,5,raise 10002,thong 00200,adobe 00202,humph 00000,froze 22222,
dopey,5,raise 00001,betel 00020,woven 02020,sissy 00002,dopey 22222,
golly,5,raise 00000,nobly 02012,dwarf 00000,ought 10100,golly 22222,
brown,5,raise 10000,count 01010,dwarf 01010,cigar 00001,brown 22222,
vaunt,5,raise 02000,count 00222,dough 00200,evade 01100,vaunt 22222,
match,5,raise 02000,count 10001,belch 00022,humph 00102,match 22222,
rural,5,raise 11000,crowd 01000,alarm 11010,cigar 00021,rural 22222,
humph,4,raise 00000,nobly 00000,could 00100,humph 22222,,
naval,4,raise 01000,clout 01000,nymph 20000,naval 22222,,
heath,4,raise 01001,dealt 02201,humph 20002,heath 22222,,
model,4,raise 00001,betel 00022,woven 02020,model 22222,,
karma,4,raise 11000,crowd 01000,alarm 10111,karma 22222,,
grade,4,raise 11002,track 02200,pudgy 00110,grade 22222,,
quiet,4,raise 00201,deter 00120,rebut 01012,quiet 22222,,
bench,4,raise 00001,betel 22000,cigar 10000,bench 22222,,
abate,4,raise 01002,blank 10100,evade 00102,abate 22222,,
feign,4,raise 00201,deter 02000,bench 02100,feign 22222,,
major,4,raise 12000,morph 21100,yearn 00110,major 22222,,
stool,4,raise 00010,stony 22100,model 01002,stool 22222,,
react,4,raise 21001,inlay 00010,rebut 22002,react 22222,,
floss,4,raise 00010,stony 10200,feign 20000,floss 22222,,
helix,4,raise 00101,lipid 10020,rebut 02000,helix 22222,,
staff,4,raise 01010,shalt 20201,knife 00010,staff 22222,,
paper,4,raise 12001,glyph 00010,tapir 02102,paper 22222,,
unfed,4,raise 00001,betel 00020,woven 00021,unfed 22222,,
whelp,4,raise 00001,betel 01001,gulch 00101,whelp 22222,,
trawl,4,raise 11000,crowd 02020,blush 01000,trawl 22222,,
outdo,4,raise 00000,nobly 01000,dutch 12200,outdo 22222,,
adobe,4,raise 01002,blank 10100,evade 00112,adobe 22222,,
crazy,4,raise 11000,crowd 22000,unmet 00000,crazy 22222,,
digit,4,raise 00100,pilot 01002,cigar 01200,digit 22222,,
cluck,4,raise 00000,nobly 00010,champ 10000,cluck 22222,,
mimic,4,raise 00100,pilot 01000,ionic 10022,mimic 22222,,
pound,4,raise 00000,nobly 12000,thump 00201,pound 22222,,
linen,4,raise 00101,lipid 22000,stink 00110,linen 22222,,
flesh,4,raise 00021,ought 00010,rebut 01000,flesh 22222,,
booby,4,raise 00000,nobly 01102,batty 10002,booby 22222,,
forth,4,raise 10000,count 02001,fresh 21002,forth 22222,,
stand,4,raise 01010,shalt 20201,knife 01000,stand 22222,,
belly,4,raise 00001,betel 22001,focal 00001,belly 22222,,
ivory,4,raise 10100,grout 01200,cigar 01001,ivory 22222,,
seedy,4,raise 00011,spelt 20100,delve 11000,seedy 22222,,
yearn,4,raise 11001,bleat 00110,marry 01021,yearn 22222,,
bribe,4,raise 10202,thump 00000,bench 11000,bribe 22222,,
stout,4,raise 00010,stony 21200,perch 00000,stout 22222,,
crass,4,raise 11010,stamp 10200,cigar 20011,crass 22222,,
flume,4,raise 00002,blond 02000,stomp 00020,flume 22222,,
offal,4,raise 01000,clout 01100,folly 11100,offal 22222,,
agree,4,raise 11001,bleat 00110,marry 01200,agree 22222,,
error,4,raise 10001,deter 01001,glove 00101,error 22222,,
bleed,4,raise 00001,betel 21021,humph 00000,bleed 22222,,
flick,4,raise 00200,blunt 02000,focal 20101,flick 22222,,
totem,4,raise 00001,betel 00120,unmet 00121,totem 22222,,
shrub,4,raise 10010,shout 22020,cigar 00001,shrub 22222,,
lapel,4,raise 02001,novel 00021,rebut 01000,lapel 22222,,
greet,4,raise 10001,deter 01121,evade 10001,greet 22222,,
golem,4,raise 00001,betel 00021,humph 00100,golem 22222,,
lusty,4,raise 00010,stony 11002,model 00001,lusty 22222,,
labor,4,raise 12000,morph 01100,naval 02001,labor 22222,,
civic,4,raise 00100,pilot 01000,ionic 10021,civic 22222,,
forge,4,raise 10002,thong 00101,focal 22000,forge 22222,,
moult,4,raise 00000,nobly 02020,dwarf 00000,moult 22222,,
agate,4,raise 01002,blank 00100,digit 00101,agate 22222,,
fjord,4,raise 10000,count 01000,blood 00202,fjord 22222,,
spend,4,raise 00011,spelt 22200,cigar 00000,spend 22222,,
kebab,4,raise 01001,dealt 02100,bench 12000,kebab 22222,,
guild,4,raise 00200,blunt 01100,cigar 01100,guild 22222,,
aback,4,raise 01000,clout 10000,awake 20210,aback 22222,,
motor,4,raise 10000,count 01001,bloom 00121,motor 22222,,
hatch,4,raise 02000,count 10001,belch 00021,hatch 22222,,
hyper,4,raise 10001,deter 00022,vouch 00001,hyper 22222,,
thumb,4,raise 00000,nobly 00100,cigar 00000,thumb 22222,,
ought,4,raise 00000,nobly 01000,dutch 02101,ought 22222,,
belch,4,raise 00001,betel 22001,focal 00101,belch 22222,,
dutch,4,raise 00000,nobly 00000,could 10101,dutch 22222,,
tweed,4,raise 00001,betel 01120,dwarf 12000,tweed 22222,,
comet,4,raise 00001,betel 00120,unmet 00222,comet 22222,,
enema,4,raise 01001,dealt 01100,month 10100,enema 22222,,
abyss,4,raise 01010,shalt 10100,sissy 10021,abyss 22222,,
fling,4,raise 00200,blunt 02020,cigar 01100,fling 22222,,
dozen,4,raise 00001,betel 00020,woven 02022,dozen 22222,,
boozy,4,raise 00000,nobly 01102,batty 20002,boozy 22222,,
world,4,raise 10000,count 02000,dowry 12110,world 22222,,
