paper,5,roate 10101,malar 02002,gawsy 02000,abaca 10000,paper 22222,,3.687257019,,
pound,5,roate 02000,bludy 00210,hawms 00000,abaft 00000,pound 22222,,,1,0
goner,5,roate 12001,hwyls 00000,acker 00022,abamp 00000,goner 22222,,,2,24
jaunt,5,roate 00110,tinct 00102,dight 00002,advew 10000,jaunt 22222,,,3,779
fixer,5,roate 10001,seder 00022,filch 22000,aband 00000,fixer 22222,,,4,1409
pithy,5,roate 00010,knish 00101,mulct 00001,aargh 00001,pithy 22222,,,5,103
finer,5,roate 10001,seder 00022,filch 22000,aband 00010,finer 22222,,,,
ferry,5,roate 10001,seder 02001,carby 00102,abaft 00010,ferry 22222,,,,
query,5,roate 10001,seder 01001,civvy 00002,aalii 00000,query 22222,,,,
perky,5,roate 10001,seder 02001,carby 00202,abamp 00001,perky 22222,,,,
cynic,5,roate 00000,clips 10100,acmic 01022,abaca 00010,cynic 22222,,,,
shake,5,roate 00202,plums 00001,ached 10110,abaka 00220,shake 22222,,,,
watch,5,roate 00110,tinct 10020,bumph 00002,aalii 02000,watch 22222,,,,
found,5,roate 02000,bludy 00210,hawms 00000,abaft 00010,found 22222,,,,
lowly,5,roate 02000,bludy 01002,faugh 00000,ablow 00111,lowly 22222,,,,
slung,5,roate 00000,clips 02001,abash 00010,aargh 00010,slung 22222,,,,
field,5,roate 00001,lenes 11000,delly 11020,abaft 00010,field 22222,,,,
madam,5,roate 00100,nails 01000,gamas 02120,aahed 12001,madam 22222,,,,
liver,5,roate 10001,seder 00022,filch 02100,aband 00000,liver 22222,,,,
wedge,5,roate 00001,lenes 01000,dicky 10000,aahed 00011,wedge 22222,,,,
patty,5,roate 00110,tinct 10001,abaft 10001,abamp 10001,patty 22222,,,,
poker,5,roate 12001,hwyls 00000,acker 00222,abamp 00001,poker 22222,,,,
gully,5,roate 00000,clips 01000,baked 00000,aargh 00010,gully 22222,,,,
leery,5,roate 10001,seder 01001,civvy 00002,aalii 00100,leery 22222,,,,
vigor,5,roate 11000,croon 01020,firer 02002,aargh 00110,vigor 22222,,,,
mummy,5,roate 00000,clips 00000,bandh 00000,agama 00010,mummy 22222,,,,
fanny,5,roate 00100,nails 12000,cundy 00102,abaft 10010,fanny 22222,,,,
baker,5,roate 10101,malar 02002,gawsy 02000,abaca 11000,baker 22222,,,,
daddy,5,roate 00100,nails 02000,bawds 02010,apace 10000,daddy 22222,,,,
genre,5,roate 10001,seder 01001,civvy 00000,aargh 00110,genre 22222,,,,
safer,5,roate 10101,malar 02002,gawsy 02010,abaft 10010,safer 22222,,,,
jiffy,5,roate 00000,clips 00100,dungy 00002,abuzz 00000,jiffy 22222,,,,
filmy,5,roate 00000,clips 01100,baldy 00202,abaft 00010,filmy 22222,,,,
nanny,5,roate 00100,nails 12000,cundy 00102,abaft 10000,nanny 22222,,,,
muddy,5,roate 00000,clips 00000,bandh 00010,addax 01200,muddy 22222,,,,
goody,5,roate 01000,blins 00000,dawah 10000,aargh 00010,goody 22222,,,,
winch,5,roate 00000,clips 10100,acmic 01010,abaft 00000,winch 22222,,,,
pried,5,roate 10001,seder 00121,cided 01022,abaft 00000,pried 22222,,,,
