boxer,6,slate 00001,diner 00022,pooch 02000,gawky 00000,rebut 11100,boxer 22222,,
mover,6,slate 00001,diner 00022,pooch 02000,gawky 00000,rebut 11000,mover 22222,,
bench,5,slate 00001,diner 00210,humph 00002,rebut 02100,bench 22222,,,3.630237581
feign,5,slate 00001,diner 01110,brink 00210,humph 00000,feign 22222,,,
error,5,slate 00001,diner 00011,pence 01000,focal 01000,error 22222,,,42
lapel,5,slate 01101,nerdy 01000,mogul 00001,rebut 01000,lapel 22222,,,882
jaunt,5,slate 00110,taint 02022,dough 00200,evade 00100,jaunt 22222,,,1279
fixer,5,slate 00001,diner 02022,prove 01001,rebut 11000,fixer 22222,,,109
ferry,5,slate 00001,diner 00011,pence 02000,jumbo 00000,ferry 22222,,,2
query,5,slate 00001,diner 00011,pence 01000,focal 00000,query 22222,,,
caulk,5,slate 01100,minor 00000,pudgy 01000,cigar 20010,caulk 22222,,,
watch,5,slate 00110,taint 12000,humph 00002,bench 00022,watch 22222,,,
found,5,slate 00000,round 02222,humph 01000,dwarf 10001,found 22222,,,
harry,5,slate 00100,minor 00001,parry 02222,cigar 00011,harry 22222,,,
fewer,5,slate 00001,diner 00012,humph 00000,awake 01001,fewer 22222,,,
foyer,5,slate 00001,diner 00022,pooch 02000,gawky 00001,foyer 22222,,,
hairy,5,slate 00100,minor 01001,badly 02002,humph 20000,hairy 22222,,,
homer,5,slate 00001,diner 00022,pooch 02001,humph 20200,homer 22222,,,
gamer,5,slate 00101,cyber 00022,gawky 22000,humph 00200,gamer 22222,,,
vouch,5,slate 00000,round 02200,cluck 00220,humph 01002,vouch 22222,,,
primo,5,slate 00000,round 11000,frock 02100,cigar 01001,primo 22222,,,
awful,5,slate 01100,minor 00000,pudgy 01000,cigar 00010,awful 22222,,,
wench,5,slate 00001,diner 00210,humph 00002,rebut 02000,wench 22222,,,
night,5,slate 00010,trout 00002,dwarf 00000,humph 10000,night 22222,,,
bobby,5,slate 00000,round 02000,champ 00000,cigar 00000,bobby 22222,,,
power,5,slate 00001,diner 00022,pooch 22000,awake 01001,power 22222,,,
label,5,slate 01101,nerdy 01000,mogul 00001,rebut 01200,label 22222,,,
poker,5,slate 00001,diner 00022,pooch 22000,awake 00011,poker 22222,,,
vigor,5,slate 00000,round 11000,frock 01100,cigar 02202,vigor 22222,,,
enjoy,5,slate 00001,diner 00110,embed 20000,evade 20000,enjoy 22222,,,
catch,5,slate 00110,taint 12000,humph 00002,bench 00012,catch 22222,,,
mummy,5,slate 00000,round 00100,pygmy 00012,cigar 00000,mummy 22222,,,
foggy,5,slate 00000,round 02000,champ 00000,cigar 00100,foggy 22222,,,
